LSOA21CD,med_price_dec_21
E01013053,292995.0
E01013054,204000.0
E01013055,255000.0
E01013056,170000.0
E01013057,356000.0
E01013058,300000.0
E01013059,275000.0
E01013060,271250.0
E01013061,252000.0
E01013062,220000.0
E01013063,319000.0
E01013064,267000.0
E01013065,218475.0
E01013066,248000.0
E01013067,265000.0
E01013068,289500.0
E01013069,190000.0
E01013070,335000.0
E01013071,161000.0
E01013072,177500.0
E01013073,227500.0
E01013074,227000.0
E01013075,238000.0
E01013076,170000.0
E01013077,215000.0
E01013078,295000.0
E01013079,221000.0
E01013080,116750.0
E01013081,149950.0
E01013082,143000.0
E01013083,108500.0
E01013084,125000.0
E01013085,160000.0
E01013086,157500.0
E01013087,185000.0
E01013088,415000.0
E01013089,265000.0
E01013090,245000.0
E01013091,273000.0
E01013092,243755.0
E01013093,357000.0
E01013094,210000.0
E01013095,167500.0
E01013096,169000.0
E01013097,134500.0
E01013098,180000.0
E01013099,125000.0
E01013100,174250.0
E01013101,170000.0
E01013102,165000.0
E01013103,192500.0
E01013104,180000.0
E01013105,182500.0
E01013106,156500.0
E01013107,180500.0
E01013108,312000.0
E01013110,250000.0
E01013111,189125.0
E01013112,248500.0
E01013113,216000.0
E01013114,559000.0
E01013115,169950.0
E01013116,315000.0
E01013117,311500.0
E01013118,285000.0
E01013119,398750.0
E01013120,250000.0
E01013121,250000.0
E01013122,435000.0
E01013123,212000.0
E01013124,171000.0
E01013125,200000.0
E01013126,340000.0
E01013127,425000.0
E01032596,157500.0
E01033495,190000.0
E01033496,270000.0
E01013128,110000.0
E01013129,122000.0
E01013130,150000.0
E01013131,120000.0
E01013132,176250.0
E01013133,133000.0
E01013134,139000.0
E01013135,137500.0
E01013136,60000.0
E01013137,65000.0
E01013138,47000.0
E01013139,55000.0
E01013140,62500.0
E01013141,70000.0
E01013142,66750.0
E01013143,92450.0
E01013144,78975.0
E01013145,161000.0
E01013146,154000.0
E01013147,90000.0
E01013148,179950.0
E01013149,161000.0
E01013150,162500.0
E01013151,211500.0
E01013152,268000.0
E01013153,215000.0
E01013154,189025.0
E01013155,223000.0
E01013156,243225.0
E01013157,210000.0
E01013158,121600.0
E01013159,77500.0
E01013160,121000.0
E01013161,82450.0
E01013162,93000.0
E01013163,220000.0
E01013164,130000.0
E01013165,60000.0
E01013166,180000.0
E01013167,207500.0
E01013168,224975.0
E01013169,181000.0
E01013170,202500.0
E01013171,226500.0
E01013172,180000.0
E01013173,204500.0
E01013174,109950.0
E01013175,193750.0
E01013176,128000.0
E01013177,102600.0
E01013178,144950.0
E01013179,139950.0
E01013180,140000.0
E01013181,85000.0
E01013182,212500.0
E01013183,164500.0
